id,raw_image_filepath,scored_image_filepath,sorted_image_filepath,cpc_filepath,scored_image_width,scored_image_height,scored_image_timestamp,raw_image_timestamp,cpc_content
PB103595,C-30\SHINE-1739(SanDiegoA)\RAW\Olympus TG6 CBRACT 2_02\PB103595.JPG,C-30\SHINE-1739(SanDiegoA)\SCORED\PB103595.JPG,C-30\SHINE-1739(SanDiegoA)\SORTED\2\PB103595.JPG,C-30\SHINE-1739(SanDiegoA)\SCORED\PB103595.cpc,4000,3000,2023:11:10 14:45:03,2023:11:10 14:45:03,"""C:\CPCe_41_inst\OMLC_code-7CAT.txt"",""C:\Users\rapha\Documents\SHORE\C30\SHINE-1739(SanDiegoA)\SCORED\PB103595.JPG"",60000,45000,19630,14735
0,44975.55
60018.32,44975.55
60018.32,0
0,0
10
9216,42050
36267,35371
30657,42167
16534,3689
14403,5331
24879,27378
17614,33072
37795,13584
39669,9060
8756,30616
""A"",""TWB"",""Notes"",""""
""B"",""AA"",""Notes"",""""
""C"",""TWB"",""Notes"",""""
""D"",""HC"",""Notes"",""""
""E"",""AA"",""Notes"",""""
""F"",""AA"",""Notes"",""""
""G"",""AB"",""Notes"",""""
""H"",""HC"",""Notes"",""""
""I"",""HC"",""Notes"",""""
""J"",""AA"",""Notes"",""""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"
PB103596,C-30\SHINE-1739(SanDiegoA)\RAW\Olympus TG6 CBRACT 2_02\PB103596.JPG,C-30\SHINE-1739(SanDiegoA)\SCORED\PB103596.JPG,C-30\SHINE-1739(SanDiegoA)\SORTED\2\PB103596.JPG,C-30\SHINE-1739(SanDiegoA)\SCORED\PB103596.cpc,4000,3000,2023:11:10 14:46:08,2023:11:10 14:46:08,"""C:\CPCe_41_inst\OMLC_code-7CAT.txt"",""C:\Users\rapha\Documents\SHORE\C30\SHINE-1739(SanDiegoA)\SCORED\PB103596.JPG"",60000,45000,19634,14731
0,44987.78
60006.12,44987.78
60006.12,0
0,0
10
8554,26183
51893,1761
52962,34702
51008,42091
19222,27614
30117,28048
20510,20396
37857,19771
40451,31198
58961,29197
""A"",""AA"",""Notes"",""""
""B"",""HC"",""Notes"",""""
""C"",""HC"",""Notes"",""""
""D"",""AA"",""Notes"",""""
""E"",""HC"",""Notes"",""""
""F"",""HC"",""Notes"",""""
""G"",""HC"",""Notes"",""""
""H"",""HC"",""Notes"",""""
""I"",""AA"",""Notes"",""""
""J"",""HC"",""Notes"",""""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"
PB103597,C-30\SHINE-1739(SanDiegoA)\RAW\Olympus TG6 CBRACT 2_02\PB103597.JPG,C-30\SHINE-1739(SanDiegoA)\SCORED\PB103597.JPG,C-30\SHINE-1739(SanDiegoA)\SORTED\2\PB103597.JPG,C-30\SHINE-1739(SanDiegoA)\SCORED\PB103597.cpc,4000,3000,2023:11:10 14:47:03,2023:11:10 14:47:03,"""C:\CPCe_41_inst\OMLC_code-7CAT.txt"",""C:\Users\rapha\Documents\SHORE\C30\SHINE-1739(SanDiegoA)\SCORED\PB103597.JPG"",60000,45000,19638,14727
0,45000
59993.89,45000
59993.89,0
0,0
10
28260,33981
16068,10641
20711,14750
2464,33737
6780,41281
36933,7133
34753,17041
18901,42528
3989,10865
34086,6319
""A"",""AA"",""Notes"",""""
""B"",""HC"",""Notes"",""""
""C"",""AA"",""Notes"",""""
""D"",""AA"",""Notes"",""""
""E"",""HC"",""Notes"",""""
""F"",""AA"",""Notes"",""""
""G"",""AA"",""Notes"",""""
""H"",""TWB"",""Notes"",""""
""I"",""AA"",""Notes"",""""
""J"",""AA"",""Notes"",""""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"
PB103598,C-30\SHINE-1739(SanDiegoA)\RAW\Olympus TG6 CBRACT 2_02\PB103598.JPG,C-30\SHINE-1739(SanDiegoA)\SCORED\PB103598.JPG,C-30\SHINE-1739(SanDiegoA)\SORTED\2\PB103598.JPG,C-30\SHINE-1739(SanDiegoA)\SCORED\PB103598.cpc,4000,3000,2023:11:10 14:48:13,2023:11:10 14:48:13,"""C:\CPCe_41_inst\OMLC_code-7CAT.txt"",""C:\Users\rapha\Documents\SHORE\C30\SHINE-1739(SanDiegoA)\SCORED\PB103598.JPG"",60000,45000,19642,14723
0,45012.22
59981.67,45012.22
59981.67,0
0,0
10
45036,27562
11406,32115
38440,43878
6805,18121
44022,9138
27903,10560
44893,16388
3701,38999
1665,33679
39893,41963
""A"",""HC"",""Notes"",""""
""B"",""AA"",""Notes"",""""
""C"",""HC"",""Notes"",""""
""D"",""HC"",""Notes"",""""
""E"",""AA"",""Notes"",""""
""F"",""AA"",""Notes"",""""
""G"",""AA"",""Notes"",""""
""H"",""HC"",""Notes"",""""
""I"",""HC"",""Notes"",""""
""J"",""AA"",""Notes"",""""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"
PB103599,C-30\SHINE-1739(SanDiegoA)\RAW\Olympus TG6 CBRACT 2_02\PB103599.JPG,C-30\SHINE-1739(SanDiegoA)\SCORED\PB103599.JPG,C-30\SHINE-1739(SanDiegoA)\SORTED\2\PB103599.JPG,C-30\SHINE-1739(SanDiegoA)\SCORED\PB103599.cpc,4000,3000,2023:11:10 14:49:44,2023:11:10 14:49:44,"""C:\CPCe_41_inst\OMLC_code-7CAT.txt"",""C:\Users\rapha\Documents\SHORE\C30\SHINE-1739(SanDiegoA)\SCORED\PB103599.JPG"",60000,45000,19631,14734
0,44978.6
60015.27,44978.6
60015.27,0
0,0
10
15106,27700
24327,15095
28071,36200
10533,22012
9477,42586
6325,37083
7834,5424
22204,41303
48290,38137
5360,22749
""A"",""AA"",""Notes"",""""
""B"",""AA"",""Notes"",""""
""C"",""HC"",""Notes"",""""
""D"",""AA"",""Notes"",""""
""E"",""HC"",""Notes"",""""
""F"",""AA"",""Notes"",""""
""G"",""AA"",""Notes"",""""
""H"",""SW"",""Notes"",""""
""I"",""AA"",""Notes"",""""
""J"",""AA"",""Notes"",""""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"
PB103600,C-30\SHINE-1739(SanDiegoA)\RAW\Olympus TG6 CBRACT 2_02\PB103600.JPG,C-30\SHINE-1739(SanDiegoA)\SCORED\PB103600.JPG,C-30\SHINE-1739(SanDiegoA)\SORTED\2\PB103600.JPG,C-30\SHINE-1739(SanDiegoA)\SCORED\PB103600.cpc,4000,3000,2023:11:10 14:50:54,2023:11:10 14:50:54,"""C:\CPCe_41_inst\OMLC_code-7CAT.txt"",""C:\Users\rapha\Documents\SHORE\C30\SHINE-1739(SanDiegoA)\SCORED\PB103600.JPG"",60000,45000,19635,14730
0,44990.84
60003.06,44990.84
60003.06,0
0,0
10
23142,33815
4323,41416
18750,19252
42878,13228
35417,8733
13988,7016
29573,41772
50904,13674
13535,13210
9411,30119
""A"",""HC"",""Notes"",""""
""B"",""AA"",""Notes"",""""
""C"",""AA"",""Notes"",""""
""D"",""HC"",""Notes"",""""
""E"",""AA"",""Notes"",""""
""F"",""AA"",""Notes"",""""
""G"",""TWB"",""Notes"",""""
""H"",""SW"",""Notes"",""""
""I"",""HC"",""Notes"",""""
""J"",""AA"",""Notes"",""""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"
PB103601,C-30\SHINE-1739(SanDiegoA)\RAW\Olympus TG6 CBRACT 2_02\PB103601.JPG,C-30\SHINE-1739(SanDiegoA)\SCORED\PB103601.JPG,C-30\SHINE-1739(SanDiegoA)\SORTED\2\PB103601.JPG,C-30\SHINE-1739(SanDiegoA)\SCORED\PB103601.cpc,4000,3000,2023:11:10 14:51:51,2023:11:10 14:51:51,"""C:\CPCe_41_inst\OMLC_code-7CAT.txt"",""C:\Users\rapha\Documents\SHORE\C30\SHINE-1739(SanDiegoA)\SCORED\PB103601.JPG"",60000,45000,19639,14726
0,45003.06
59990.84,45003.06
59990.84,0
0,0
10
38574,30777
14524,4161
29417,33984
700,26690
24009,5830
51054,23938
42951,33494
29162,1775
56744,33898
5099,32495
""A"",""SW"",""Notes"",""""
""B"",""AA"",""Notes"",""""
""C"",""AA"",""Notes"",""""
""D"",""AA"",""Notes"",""""
""E"",""HC"",""Notes"",""""
""F"",""HC"",""Notes"",""""
""G"",""AA"",""Notes"",""""
""H"",""HC"",""Notes"",""""
""I"",""HC"",""Notes"",""""
""J"",""HC"",""Notes"",""""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"
PB103602,C-30\SHINE-1739(SanDiegoA)\RAW\Olympus TG6 CBRACT 2_02\PB103602.JPG,C-30\SHINE-1739(SanDiegoA)\SCORED\PB103602.JPG,C-30\SHINE-1739(SanDiegoA)\SORTED\2\PB103602.JPG,C-30\SHINE-1739(SanDiegoA)\SCORED\PB103602.cpc,4000,3000,2023:11:10 14:52:44,2023:11:10 14:52:44,"""C:\CPCe_41_inst\OMLC_code-7CAT.txt"",""C:\Users\rapha\Documents\SHORE\C30\SHINE-1739(SanDiegoA)\SCORED\PB103602.JPG"",60000,45000,19643,14722
0,45015.28
59978.62,45015.28
59978.62,0
0,0
10
3506,44310
56355,23353
6899,39829
4061,35487
49983,5037
22360,43525
39840,38147
18248,12751
24111,27907
39436,14372
""A"",""AA"",""Notes"",""""
""B"",""AA"",""Notes"",""""
""C"",""AA"",""Notes"",""""
""D"",""HC"",""Notes"",""""
""E"",""HC"",""Notes"",""""
""F"",""AA"",""Notes"",""""
""G"",""HC"",""Notes"",""""
""H"",""AA"",""Notes"",""""
""I"",""HC"",""Notes"",""""
""J"",""HC"",""Notes"",""""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"
PB103603,C-30\SHINE-1739(SanDiegoA)\RAW\Olympus TG6 CBRACT 2_02\PB103603.JPG,,C-30\SHINE-1739(SanDiegoA)\SORTED\2\PB103603.JPG,,4000,3000,2023:11:10 14:52:44,2023:11:10 14:52:44,
PB103604,C-30\SHINE-1739(SanDiegoA)\RAW\Olympus TG6 CBRACT 2_02\PB103604.JPG,,C-30\SHINE-1739(SanDiegoA)\SORTED\2\PB103604.JPG,,4000,3000,2023:11:10 14:53:02,2023:11:10 14:53:02,
